class_id,class_name,metric,clean,40dB,30dB,20dB,10dB,0dB
1,"Pure sinusoidal",recall,1.0000,1.0000,0.8333,0.4333,0.2667,0.2000
2,"Sag",recall,0.9667,0.9667,0.9667,0.9000,0.6000,0.2333
3,"Swell",recall,1.0000,1.0000,1.0000,0.9333,0.5333,0.1333
4,"Interruption",recall,1.0000,1.0000,1.0000,1.0000,0.9667,0.8667
5,"Impulsive transient",recall,1.0000,1.0000,0.7667,0.7333,0.5333,0.3667
6,"Oscillatory transient",recall,1.0000,1.0000,1.0000,0.9667,0.8000,0.4333
7,"Harmonics",recall,1.0000,1.0000,1.0000,1.0000,0.9667,0.6000
8,"Harmonics + Sag",recall,1.0000,1.0000,1.0000,0.9667,0.7333,0.3333
9,"Harmonics + Swell",recall,0.9667,0.9667,0.9667,0.9667,0.9000,0.3000
10,"Flicker",recall,1.0000,1.0000,1.0000,1.0000,0.9333,0.4333
11,"Flicker + Sag",recall,1.0000,1.0000,1.0000,0.9667,0.8333,0.2000
12,"Flicker + Swell",recall,1.0000,1.0000,1.0000,1.0000,0.7667,0.0667
13,"Sag + Osc. transient",recall,1.0000,1.0000,1.0000,0.9000,0.6667,0.2000
14,"Swell + Osc. transient",recall,0.9667,0.9667,0.9333,0.8333,0.3333,0.1667
15,"Sag + Harmonics",recall,0.7333,0.7000,0.7667,0.6000,0.5333,0.1333
16,"Swell + Harmonics",recall,0.7000,0.7000,0.7667,0.6000,0.5000,0.1667
17,"Notch",recall,1.0000,1.0000,1.0000,0.9667,0.8000,0.4333
18,"Harm + Sag + Flicker",recall,0.9667,0.9333,1.0000,0.9667,0.7000,0.3333
19,"Harm + Swell + Flicker",recall,0.9667,0.9667,1.0000,0.9667,0.8333,0.1667
20,"Sag + Harm + Flicker",recall,0.4333,0.4000,0.4333,0.5000,0.5000,0.1333
21,"Swell + Harm + Flicker",recall,0.6333,0.6333,0.7333,0.5667,0.3333,0.1000
22,"Sag + Harm + OT",recall,0.6000,0.5333,0.5000,0.4333,0.3667,0.2000
23,"Swell + Harm + OT",recall,0.6000,0.6000,0.6333,0.3667,0.3667,0.2333
24,"Harm + Sag + OT",recall,0.9000,0.9333,0.9333,0.9333,0.7333,0.3000
25,"Harm + Swell + OT",recall,1.0000,1.0000,1.0000,0.9667,0.6000,0.2000
26,"Harm + Sag + Flicker + OT",recall,0.9333,0.9333,0.9333,0.8667,0.6333,0.0000
27,"Harm + Swell + Flicker + OT",recall,0.9333,0.9333,0.9333,0.8000,0.5667,0.3000
28,"Sag + Harm + Flicker + OT",recall,0.5000,0.5333,0.5667,0.5333,0.4000,0.1333
29,"Swell + Harm + Flicker + OT",recall,0.6333,0.6333,0.6000,0.5333,0.4000,0.0667
1,"Pure sinusoidal",f1,1.0000,1.0000,0.8065,0.4815,0.2909,0.2182
2,"Sag",f1,0.9667,0.9667,0.9667,0.8852,0.6000,0.2187
3,"Swell",f1,1.0000,1.0000,1.0000,0.8889,0.4776,0.1356
4,"Interruption",f1,0.9677,0.9677,0.9677,0.9677,0.9062,0.8000
5,"Impulsive transient",f1,1.0000,1.0000,0.7931,0.6377,0.4776,0.2895
6,"Oscillatory transient",f1,1.0000,1.0000,1.0000,0.9831,0.8000,0.3514
7,"Harmonics",f1,1.0000,1.0000,1.0000,0.9836,0.9508,0.6667
8,"Harmonics + Sag",f1,0.9836,0.9677,1.0000,0.9508,0.6769,0.3175
9,"Harmonics + Swell",f1,0.9667,0.9667,0.9667,0.9508,0.7826,0.2769
10,"Flicker",f1,1.0000,1.0000,1.0000,1.0000,0.9180,0.3824
11,"Flicker + Sag",f1,1.0000,1.0000,1.0000,0.9831,0.8929,0.1935
12,"Flicker + Swell",f1,0.9836,0.9836,0.9836,0.9836,0.7931,0.0851
13,"Sag + Osc. transient",f1,0.9524,0.9524,0.9677,0.9000,0.7143,0.2400
14,"Swell + Osc. transient",f1,0.9831,0.9831,0.9655,0.8929,0.4167,0.1754
15,"Sag + Harmonics",f1,0.6377,0.6000,0.6479,0.5455,0.4267,0.1194
16,"Swell + Harmonics",f1,0.6667,0.6667,0.7419,0.5294,0.4167,0.1449
17,"Notch",f1,1.0000,1.0000,1.0000,0.9831,0.7619,0.4127
18,"Harm + Sag + Flicker",f1,0.9831,0.9655,0.9836,0.9667,0.6774,0.3390
19,"Harm + Swell + Flicker",f1,0.9355,0.9355,0.9524,0.8923,0.7463,0.1818
20,"Sag + Harm + Flicker",f1,0.5306,0.4898,0.5417,0.5263,0.5000,0.1538
21,"Swell + Harm + Flicker",f1,0.6667,0.6786,0.7458,0.6071,0.3333,0.1176
22,"Sag + Harm + OT",f1,0.5902,0.5424,0.5263,0.4815,0.4681,0.2034
23,"Swell + Harm + OT",f1,0.6207,0.6207,0.6333,0.4074,0.3929,0.1972
24,"Harm + Sag + OT",f1,0.9153,0.9333,0.9492,0.9180,0.7719,0.3051
25,"Harm + Swell + OT",f1,1.0000,1.0000,1.0000,0.9667,0.7200,0.2069
26,"Harm + Sag + Flicker + OT",f1,0.9180,0.9333,0.9333,0.9123,0.7170,0.0000
27,"Harm + Swell + Flicker + OT",f1,0.9492,0.9492,0.9655,0.8727,0.6296,0.3396
28,"Sag + Harm + Flicker + OT",f1,0.5357,0.5614,0.5667,0.5333,0.4000,0.1600
29,"Swell + Harm + Flicker + OT",f1,0.6230,0.6129,0.6102,0.5246,0.4211,0.0606
1,"Pure sinusoidal",kappa,1.0000,1.0000,0.7993,0.4651,0.2680,0.1929
2,"Sag",kappa,0.9655,0.9655,0.9655,0.8811,0.5857,0.1890
3,"Swell",kappa,1.0000,1.0000,1.0000,0.8847,0.4569,0.1053
4,"Interruption",kappa,0.9666,0.9666,0.9666,0.9666,0.9027,0.7923
5,"Impulsive transient",kappa,1.0000,1.0000,0.7860,0.6230,0.4569,0.2585
6,"Oscillatory transient",kappa,1.0000,1.0000,1.0000,0.9825,0.7929,0.3236
7,"Harmonics",kappa,1.0000,1.0000,1.0000,0.9830,0.9490,0.6561
8,"Harmonics + Sag",kappa,0.9830,0.9666,1.0000,0.9490,0.6645,0.2919
9,"Harmonics + Swell",kappa,0.9655,0.9655,0.9655,0.9490,0.7738,0.2490
10,"Flicker",kappa,1.0000,1.0000,1.0000,1.0000,0.9151,0.3576
11,"Flicker + Sag",kappa,1.0000,1.0000,1.0000,0.9825,0.8893,0.1638
12,"Flicker + Swell",kappa,0.9830,0.9830,0.9830,0.9830,0.7860,0.0617
13,"Sag + Osc. transient",kappa,0.9506,0.9506,0.9666,0.8964,0.7048,0.2184
14,"Swell + Osc. transient",kappa,0.9825,0.9825,0.9643,0.8893,0.4012,0.1476
15,"Sag + Harmonics",kappa,0.6230,0.5836,0.6333,0.5277,0.4019,0.0845
16,"Swell + Harmonics",kappa,0.6542,0.6542,0.7324,0.5105,0.3922,0.1102
17,"Notch",kappa,1.0000,1.0000,1.0000,0.9825,0.7530,0.3907
18,"Harm + Sag + Flicker",kappa,0.9825,0.9643,0.9830,0.9655,0.6655,0.3158
19,"Harm + Swell + Flicker",kappa,0.9331,0.9331,0.9506,0.8882,0.7362,0.1553
20,"Sag + Harm + Flicker",kappa,0.5177,0.4758,0.5295,0.5103,0.4821,0.1284
21,"Swell + Harm + Flicker",kappa,0.6554,0.6679,0.7368,0.5941,0.3095,0.0919
22,"Sag + Harm + OT",kappa,0.5753,0.5263,0.5103,0.4651,0.4545,0.1754
23,"Swell + Harm + OT",kappa,0.6076,0.6076,0.6202,0.3887,0.3728,0.1639
24,"Harm + Sag + OT",kappa,0.9123,0.9310,0.9474,0.9151,0.7642,0.2807
25,"Harm + Swell + OT",kappa,1.0000,1.0000,1.0000,0.9655,0.7121,0.1796
26,"Harm + Sag + Flicker + OT",kappa,0.9151,0.9310,0.9310,0.9093,0.7082,-0.0275
27,"Harm + Swell + Flicker + OT",kappa,0.9474,0.9474,0.9643,0.8686,0.6179,0.3192
28,"Sag + Harm + Flicker + OT",kappa,0.5204,0.5466,0.5512,0.5167,0.3786,0.1362
29,"Swell + Harm + Flicker + OT",kappa,0.6093,0.5986,0.5965,0.5073,0.4015,0.0239
