class_id,class_name,metric,clean,40dB,30dB,20dB,10dB,0dB
1,"Pure sinusoidal",recall,0.8000,0.9867,0.6200,0.4800,0.3267,0.1267
2,"Sag",recall,0.8333,0.9333,0.9333,0.7800,0.3933,0.1467
3,"Swell",recall,0.8867,0.9800,0.9867,0.7067,0.4933,0.0400
4,"Interruption",recall,0.9733,0.9933,0.9933,0.9733,0.9667,0.7533
5,"Impulsive transient",recall,0.8000,1.0000,0.7467,0.3267,0.1867,0.1400
6,"Oscillatory transient",recall,0.9933,1.0000,1.0000,0.8200,0.6600,0.2733
7,"Harmonics",recall,0.8000,1.0000,1.0000,1.0000,0.8933,0.6200
8,"Harmonics + Sag",recall,0.9267,0.9733,0.9800,0.9200,0.5933,0.1867
9,"Harmonics + Swell",recall,0.9933,1.0000,0.9933,0.9267,0.6400,0.1200
10,"Flicker",recall,0.8000,0.9867,0.9333,0.8000,0.7067,0.2667
11,"Flicker + Sag",recall,0.9733,0.9933,0.9867,0.9333,0.6133,0.2133
12,"Flicker + Swell",recall,0.8867,0.9133,0.9933,0.8800,0.5733,0.1667
13,"Sag + Osc. transient",recall,0.9800,0.9933,0.9867,0.8800,0.6067,0.1200
14,"Swell + Osc. transient",recall,0.9800,0.9933,0.9867,0.8333,0.4933,0.1000
15,"Sag + Harmonics",recall,0.5800,0.6267,0.6467,0.5067,0.4200,0.2667
16,"Swell + Harmonics",recall,0.6267,0.7200,0.7000,0.5733,0.3333,0.1533
17,"Notch",recall,0.9800,1.0000,1.0000,0.9400,0.5933,0.3667
18,"Harm + Sag + Flicker",recall,0.9400,0.9667,0.9333,0.8800,0.6533,0.4267
19,"Harm + Swell + Flicker",recall,0.9467,0.9667,0.9867,0.9467,0.6333,0.1933
20,"Sag + Harm + Flicker",recall,0.7667,0.7667,0.7600,0.7000,0.3933,0.2133
21,"Swell + Harm + Flicker",recall,0.8200,0.7733,0.7000,0.5200,0.3800,0.1600
22,"Sag + Harm + OT",recall,0.6600,0.7133,0.7267,0.6333,0.4000,0.1933
23,"Swell + Harm + OT",recall,0.7200,0.7667,0.7067,0.5600,0.3067,0.3267
24,"Harm + Sag + OT",recall,0.9333,0.9400,0.9400,0.8800,0.7667,0.2800
25,"Harm + Swell + OT",recall,0.9467,0.9800,0.9867,0.9800,0.5667,0.1000
26,"Harm + Sag + Flicker + OT",recall,0.8933,0.9000,0.8933,0.8467,0.6000,0.1533
27,"Harm + Swell + Flicker + OT",recall,0.9400,0.9600,0.9533,0.8400,0.5533,0.3667
