class_id,class_name,metric,clean,40dB,30dB,20dB,10dB,0dB
1,"Pure sinusoidal",recall,1.0000,1.0000,0.8000,0.5000,0.2533,0.4200
2,"Sag",recall,0.9333,0.9533,0.9533,0.9067,0.5267,0.2267
3,"Swell",recall,0.9867,0.9933,0.9933,0.8400,0.5600,0.0467
4,"Interruption",recall,1.0000,1.0000,0.9933,0.9800,0.9733,0.9133
5,"Impulsive transient",recall,1.0000,1.0000,0.8267,0.5733,0.5133,0.1533
6,"Oscillatory transient",recall,1.0000,1.0000,1.0000,0.9733,0.8333,0.3400
7,"Harmonics",recall,1.0000,1.0000,1.0000,1.0000,0.9533,0.7467
8,"Harmonics + Sag",recall,0.9667,0.9800,0.9800,0.9467,0.7667,0.3800
9,"Harmonics + Swell",recall,1.0000,1.0000,1.0000,0.9667,0.8933,0.4733
10,"Flicker",recall,1.0000,1.0000,1.0000,1.0000,0.9200,0.3000
11,"Flicker + Sag",recall,0.9933,1.0000,1.0000,0.9933,0.8200,0.2933
12,"Flicker + Swell",recall,1.0000,1.0000,0.9933,0.9733,0.7333,0.1533
13,"Sag + Osc. transient",recall,1.0000,1.0000,0.9933,0.9133,0.7067,0.1800
14,"Swell + Osc. transient",recall,0.9867,0.9933,0.9933,0.9133,0.6200,0.1000
15,"Sag + Harmonics",recall,0.6733,0.7000,0.6800,0.5800,0.5333,0.2133
16,"Swell + Harmonics",recall,0.6733,0.7067,0.7133,0.6467,0.5200,0.2467
17,"Notch",recall,1.0000,1.0000,1.0000,0.8800,0.6467,0.3067
18,"Harm + Sag + Flicker",recall,0.9867,0.9933,0.9667,0.9267,0.8333,0.4267
19,"Harm + Swell + Flicker",recall,1.0000,1.0000,1.0000,0.9933,0.8067,0.2133
20,"Sag + Harm + Flicker",recall,0.7733,0.7667,0.7467,0.6800,0.4467,0.2000
21,"Swell + Harm + Flicker",recall,0.8533,0.8000,0.7333,0.6200,0.3467,0.1600
22,"Sag + Harm + OT",recall,0.7600,0.7667,0.7667,0.6867,0.4333,0.2667
23,"Swell + Harm + OT",recall,0.7000,0.7133,0.6533,0.5800,0.3067,0.1533
24,"Harm + Sag + OT",recall,0.9467,0.9400,0.9400,0.8867,0.7733,0.3400
25,"Harm + Swell + OT",recall,0.9933,1.0000,0.9933,0.9867,0.6533,0.2867
26,"Harm + Sag + Flicker + OT",recall,0.9333,0.9400,0.9467,0.9200,0.6333,0.1867
27,"Harm + Swell + Flicker + OT",recall,0.9533,0.9667,0.9600,0.8600,0.5333,0.1733
28,"Sag + Harm + Flicker + OT",recall,0.5933,0.6267,0.6267,0.5667,0.4133,0.2600
29,"Swell + Harm + Flicker + OT",recall,0.7800,0.7733,0.7533,0.6400,0.2867,0.0933
1,"Pure sinusoidal",f1,1.0000,1.0000,0.8030,0.4982,0.2484,0.2733
